Date,Day,Corps,GE,Visual,Music
7/7/2018,17,Blue Knights,30.6,22.2,22.8
7/7/2018,17,The Academy,29.8,22,21.35
7/7/2018,17,Troopers,28.3,20.75,21
7/7/2018,17,Pacific Crest,26,19.7,20
7/7/2018,17,Oregon Crusaders,26,18.2,19.9
7/7/2018,17,Seattle Cascades,24.9,16.8,19.05
7/7/2018,17,The Battalion,21.5,17.95,17.55
7/7/2018,17,Columbians,22.7,16.45,17.45
7/7/2018,17,Blue Devils,33,24.6,24.1
7/7/2018,17,The Cavaliers,32.1,24.35,23.65
7/7/2018,17,Phantom Regiment,30.5,22.65,22.1
7/7/2018,17,Blue Stars,30.1,22.7,21.8
7/7/2018,17,Crossmen,29.2,23.05,21.25
7/7/2018,17,Colts,28.6,21.9,20.8
7/7/2018,17,Madison Scouts,28.9,21.3,21.05
7/7/2018,17,Genesis,25.7,18.4,19.2
7/7/2018,17,Legends,24,15.85,16.75
7/7/2018,17,River City Rhythm,22.4,14.8,16.1
7/7/2018,17,Colt Cadets,20.4,14.6,15
7/7/2018,17,Shadow,19.9,13.5,15.15
7/7/2018,17,Bluecoats,33.3,25.05,24.35
7/7/2018,17,Carolina Crown,32.6,24.1,24.65
7/7/2018,17,Boston Crusaders,32.5,24.3,24.1
7/7/2018,17,The Cadets,31,22.9,23.5
7/7/2018,17,Spirit of Atlanta,28.2,21.2,22
7/7/2018,17,Music City,24.7,18.6,18.55
7/7/2018,17,Jersey Surf,22.8,17.25,17
7/8/2018,18,Blue Devils,33.4,24.85,24.65
7/8/2018,18,Phantom Regiment,30.9,22.85,22.9
7/8/2018,18,Madison Scouts,29.2,22,22.1
7/8/2018,18,Pioneer,21.9,16,16.2
7/8/2018,18,Legends,21.6,16.65,16.85
7/8/2018,18,Shadow,17.2,13.85,15.4
7/8/2018,18,Blue Stars,30.4,23.1,22.65
7/8/2018,18,Crossmen,30,23.45,22.5
7/8/2018,18,Colts,29.3,22.25,21.85
7/8/2018,18,Genesis,25.2,20.1,19.9
7/8/2018,18,River City Rhythm,22.5,16.55,16.7
7/8/2018,18,Colt Cadets,21.3,15.15,15.4
7/8/2018,18,Bluecoats,33.4,25.1,25.35
7/8/2018,18,Boston Crusaders,32.1,24.95,25.05
7/8/2018,18,Carolina Crown,32.6,24.45,25.05
7/8/2018,18,The Cadets,31,23.4,24.15
7/8/2018,18,Spirit of Atlanta,28.3,21.55,22
7/8/2018,18,Music City,25.3,18.5,19.35
7/8/2018,18,Jersey Surf,22.6,16.7,17.5
7/8/2018,18,Heat Wave,19,14.7,15.6
7/9/2018,19,Santa Clara Vanguard,33.8,25.5,25.275
7/9/2018,19,Blue Knights,31.1,22.95,23.25
7/9/2018,19,The Academy,30.1,22.5,21.75
7/9/2018,19,Troopers,28.7,21.45,21.15
7/9/2018,19,Pacific Crest,26.1,20.4,20.025
7/9/2018,19,Oregon Crusaders,25.8,19.95,19.725
7/9/2018,19,Seattle Cascades,24.7,17.85,19.05
7/9/2018,19,Columbians,22.4,16.2,18.15
7/9/2018,19,The Battalion,21.9,17.4,17.4
7/10/2018,20,Carolina Crown,32.6,24.65,25
7/10/2018,20,The Cadets,31.3,23.9,24.05
7/10/2018,20,Spirit of Atlanta,28.9,21.95,22.4
7/10/2018,20,Music City,25.4,19.05,19.05
7/10/2018,20,Jersey Surf,24.5,18.1,18.4
7/10/2018,20,Louisiana Stars,22.9,16.75,16.9
7/10/2018,20,Guardians,22.1,16.55,16.8
7/10/2018,20,Southwind,22.4,15.9,16.55
7/10/2018,20,Heat Wave,20.4,14.7,14.9
7/10/2018,20,Santa Clara Vanguard,33.8,25.65,24.6
7/10/2018,20,The Academy,30.5,22.575,22.8
7/10/2018,20,Troopers,28.9,21.6,22.05
7/10/2018,20,Pacific Crest,26.5,20.4,19.8
7/10/2018,20,Oregon Crusaders,26.4,20.1,20.25
7/10/2018,20,Seattle Cascades,25.2,18.825,19.05
7/10/2018,20,The Battalion,22.9,18.075,17.7
7/10/2018,20,Columbians,22.5,17.4,16.95
7/10/2018,20,Mandarins,31.2,24.15,22.5
7/10/2018,20,Blue Stars,31.5,23.1,22.95
7/10/2018,20,Colts,29.4,22.275,22.05
7/10/2018,20,Genesis,26.5,20.325,20.55
7/10/2018,20,River City Rhythm,22.9,16.35,16.5
7/10/2018,20,Colt Cadets,20.9,15.675,15.45
7/11/2018,21,Santa Clara Vanguard,34.3,25.85,26.1
7/11/2018,21,Blue Knights,31.4,23.05,24.5
7/11/2018,21,The Academy,30.3,22.75,23.45
7/11/2018,21,Troopers,29.4,21.8,22.6
7/11/2018,21,Pacific Crest,26.9,19.9,20.95
7/11/2018,21,Oregon Crusaders,25.9,20,20.1
7/11/2018,21,Seattle Cascades,24.7,18.75,19.55
7/11/2018,21,The Battalion,23.3,17,18.4
7/11/2018,21,Columbians,23.2,16.8,17.95
7/11/2018,21,Blue Devils,34.4,25.15,25.25
7/11/2018,21,The Cavaliers,33.7,24.9,24.95
7/11/2018,21,Phantom Regiment,32,23.45,23.45
7/11/2018,21,Madison Scouts,29.7,21.9,22.55
7/11/2018,21,Legends,22.5,17.25,18.05
7/11/2018,21,Bluecoats,33.4,25.2,25.4
7/11/2018,21,Boston Crusaders,32.5,25.25,24.9
7/11/2018,21,Spirit of Atlanta,29.7,22.1,22.25
7/11/2018,21,Music City,26.2,19.25,19.25
7/11/2018,21,Jersey Surf,25.5,18.2,18.1
7/11/2018,21,Guardians,23.3,16.9,17.2
7/11/2018,21,Southwind,22.9,16.8,17.4
7/11/2018,21,Louisiana Stars,22.5,16.85,17.45
7/11/2018,21,Blue Stars,31.5,23.8,23.45
7/11/2018,21,Mandarins,31.5,24.2,22.9
7/11/2018,21,Crossmen,31.2,23.65,22.6
7/11/2018,21,Colts,29.2,22.7,22.4
7/11/2018,21,Genesis,26.4,20.45,20.6
7/11/2018,21,River City Rhythm,22.9,16.45,17.85
7/11/2018,21,Colt Cadets,21,15.95,15.9
7/12/2018,22,Bluecoats,34,25.7,25.6
7/12/2018,22,Boston Crusaders,33.1,25.4,25.2
7/12/2018,22,The Cadets,32.2,24.3,24.2
7/12/2018,22,Spirit of Atlanta,30.8,22.45,22.85
7/12/2018,22,Music City,26.4,19.55,19.6
7/12/2018,22,Jersey Surf,25.9,17.85,18.3
7/12/2018,22,Louisiana Stars,23.8,16.8,17.1
7/12/2018,22,Guardians,23.1,16.9,17.1
7/12/2018,22,Southwind,23.1,16.65,17.1
7/13/2018,23,Guardians,23.7,17.9,18.25
7/13/2018,23,Louisiana Stars,24,17.5,18.05
7/13/2018,23,Southwind,23.1,17.15,18.2
7/13/2018,23,Heat Wave,21.5,15.85,16.35
7/13/2018,23,Troopers,29.8,22.05,22.05
7/13/2018,23,Pacific Crest,27.1,20.625,21.45
7/13/2018,23,Oregon Crusaders,26.2,20.325,20.25
7/13/2018,23,Seattle Cascades,24.2,19.05,19.5
7/14/2018,24,Santa Clara Vanguard,34.5,26.1,26.05
7/14/2018,24,Blue Knights,31.7,23.25,24.5
7/14/2018,24,The Academy,31.4,23.25,23.25
7/14/2018,24,Troopers,30.5,22.35,22.4
7/14/2018,24,Pacific Crest,28,20.8,21.2
7/14/2018,24,Oregon Crusaders,26.4,20.4,20.4
7/14/2018,24,Seattle Cascades,24.7,18.65,19.05
7/14/2018,24,The Battalion,23.4,17.8,17.45
7/14/2018,24,Guardians,25,18.5,19.4
7/14/2018,24,Louisiana Stars,25,18.2,19.5
7/14/2018,24,Southwind,24.5,17.6,18.7
7/14/2018,24,Heat Wave,22.2,16.15,16.4
7/14/2018,24,Bluecoats,34.2,25.65,25.75
7/14/2018,24,Carolina Crown,33.4,25.2,25.85
7/14/2018,24,Spirit of Atlanta,30.8,22.95,22.95
7/14/2018,24,Music City,27.4,19.75,19.75
7/14/2018,24,Jersey Surf,26.6,18.85,18.85
7/14/2018,24,Vanguard Cadets,26.5,19.7,19.85
7/14/2018,24,Blue Devils B,26,19.35,19.75
7/14/2018,24,Gold,24.5,18.3,18.66
7/14/2018,24,Golden Empire,22.5,17.15,17.25
7/14/2018,24,Vessel,21.4,16.75,15.65
7/14/2018,24,Impulse,20.8,15.2,15.3
7/14/2018,24,Watchmen,20.8,15.35,14.8
7/14/2018,24,Blue Devils C,19.7,12.85,14.2
7/14/2018,24,Incognito,17.8,13.7,13.15
7/14/2018,24,Blue Devils,34.6,26.05,25.7
7/14/2018,24,The Cavaliers,33.9,25.6,25.35
7/14/2018,24,Blue Stars,32.5,24.3,22.95
7/14/2018,24,Crossmen,31.6,23.6,22.45
7/14/2018,24,Madison Scouts,31.6,22.2,21.9
7/14/2018,24,Colts,30.4,22.6,21.6
7/14/2018,24,Pioneer,24.5,16.7,17.55
7/15/2018,25,Blue Devils,34.6,26.65,26.1
7/15/2018,25,Bluecoats,34.7,26.4,26.025
7/15/2018,25,Carolina Crown,33.95,25.75,26.225
7/15/2018,25,The Cavaliers,33.6,26.05,25.375
7/15/2018,25,Boston Crusaders,33.35,25.65,25.575
7/15/2018,25,The Cadets,32.65,24.7,24.825
7/15/2018,25,Blue Stars,31.9,24.65,24.05
7/15/2018,25,Phantom Regiment,32,24.2,24.238
